ISO3,Country,Unit,year,value
CHN,"China, P.R.: Mainland",Megawatt (MW),2023,1453670.75
USA,United States,Megawatt (MW),2023,382531.391
BRA,Brazil,Megawatt (MW),2023,194084.63199999998
IND,India,Megawatt (MW),2023,175933.991
DEU,Germany,Megawatt (MW),2023,166889.0
JPN,Japan,Megawatt (MW),2023,128354.0
CAN,Canada,Megawatt (MW),2023,108711.285
ESP,Spain,Megawatt (MW),2023,80131.361
FRA,France,Megawatt (MW),2023,67688.126
ITA,Italy,Megawatt (MW),2023,64385.073
TUR,"TÃ¼rkiye, Rep. of",Megawatt (MW),2023,56770.347
RUS,Russian Federation,Megawatt (MW),2023,56631.37
GBR,United Kingdom,Megawatt (MW),2023,55695.964
AUS,Australia,Megawatt (MW),2023,54834.32
SSA,Sub-Saharan Africa,Megawatt (MW),2023,46974.477
VNM,Vietnam,Megawatt (MW),2023,46011.945
SWE,Sweden,Megawatt (MW),2023,40645.5
NOR,Norway,Megawatt (MW),2023,40210.714
NLD,"Netherlands, The",Megawatt (MW),2023,35624.962
MEX,Mexico,Megawatt (MW),2023,31951.642
KOR,"Korea, Rep. of",Megawatt (MW),2023,30248.441
POL,"Poland, Rep. of",Megawatt (MW),2023,27330.933
AUT,Austria,Megawatt (MW),2023,26712.167
CHE,Switzerland,Megawatt (MW),2023,21439.92
CHL,Chile,Megawatt (MW),2023,21403.284
